"","player","year","draft_year","qbr_pct","mean_epa","grades_offense","cpoe","pressure_to_sack_rate","dropbacks","qbr_pct_tot","mean_epa_tot","grade_avg","cpoe_tot","ptsr_tot","plays_tot"
"58","Tom Brady",2015,2000,0.919620813933698,0.163889580971745,91.7,-1.07029619621498,15.9,774,0.975974394325955,0.185820821703601,86.6869699306091,1.63802309922167,0.148623279098874,11871
"59","Dak Prescott",2023,2016,0.917848622279389,0.179106842241162,90,3.84480009476344,18.3,731,0.91826649078844,0.126672625636074,80.1896866606983,1.56837276878728,0.162627894453419,5757
"60","Peyton Manning",2010,1998,0.917377156668013,0.17499115659416,90.3,4.09560471095822,9.2,723,0.981802038743403,0.202984716390671,87.4769541099344,4.3717511069132,0.112998040496408,5990
"61","Justin Herbert",2021,2020,0.917123376705442,0.177791082876901,90,-0.615461159333065,15.6,740,0.916847081363501,0.0880793321491553,83.5201348988259,0.290545894438753,0.168914123491838,4098
"62","Dak Prescott",2016,2016,0.916742399530759,0.245549745644037,83.7,4.30399693124663,14.4,555,0.91826649078844,0.126672625636074,80.1896866606983,1.56837276878728,0.162627894453419,5757
"63","Drew Brees",2017,2001,0.912138422667867,0.176578754960777,89.3,4.5327370921041,15.8,638,0.972869350048072,0.178803718600378,86.2635875620379,4.13183080485271,0.133609333835152,9937
"64","Joe Burrow",2022,2020,0.911597210795041,0.146309994392793,92,3.10919718700967,22.9,803,0.96144033799869,0.11969978598596,88.4529583211892,4.27018863413141,0.222836095764273,3504
"65","Matthew Stafford",2021,2009,0.910755896034706,0.208966156008066,86.1,1.15570116532992,17.8,793,0.848358569582663,0.0779857511209702,77.2090909090909,-1.07672975651007,0.180039138943249,10152
"66","Carson Palmer",2015,2003,0.909704101302511,0.206088113052527,86.2,4.36731192095838,11.4,656,0.740883921606478,0.0567269516676051,71.333719938598,2.06947404338791,0.156570841889117,5904
"67","Ben Roethlisberger",2015,2004,0.909606406846969,0.159205126125131,90.5,5.31921222051134,15.7,567,0.872477730964763,0.103001646829373,77.1441827805985,2.37271850468163,0.201841620626151,9351
